="日期"	="项目"	="费用"	=""	="合计"	=""	=""	=""	=""	=""
=""	="西市场帽子"	="30"	=""	=""	=""	=""	=""	=""	=""
=""	="女人世界发饰"	="10"	=""	=""	=""	=""	=""	=""	=""
=""	="西市场蓝莓干"	="15"	=""	=""	=""	=""	=""	=""	=""
=""	="打车回酒店去延吉西站"	="67"	=""	=""	=""	=""	=""	=""	=""
=""	="高铁卤肉饭*2"	="55"	=""	="279"	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	="六日开销合计"	="5855.73"	=""	=""	=""	=""	=""
=""	="542 + 2190 +2112"	=""	="住宿"	="4844"	=""	=""	=""	=""	=""
=""	=""	=""	="高铁"	="4532"	=""	=""	=""	=""	=""
=""	=""	=""	="合计"	="15231.73"	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
=""	=""	=""	=""	=""	=""	=""	=""	=""	=""
